Prompt,Response
Patient experiences memory loss.,"NO NEED tablet, Monitor nutrition and ensure rest."
Patient has difficulty concentrating.,"NO NEED tablet, Monitor hydration and sleep patterns."
Patient experiences sudden vision changes.,"NO NEED tablet, Seek urgent eye consultation."
Patient has ringing in the ears.,"NO NEED tablet, Check for ear infections or wax buildup."
Patient has nausea and vomiting.,"Domperidone Syrup, Ensure hydration; monitor food intake."
Patient has diarrhea.,"ORS Solution, Prevent dehydration; monitor food intake."
Patient has constipation.,"Fiber Supplements, Encourage high-fiber diet and hydration."
Patient has frequent bloating and discomfort.,"Simethicone, Likely gas; monitor dietary intake."
Patient experiences acid reflux and heartburn.,"Ranitidine Syrup, Avoid acidic foods and ensure hydration."
Patient has loss of appetite.,"Multivitamin Syrup, Ensure balanced diet; monitor for deficiencies."
Patient has difficulty swallowing.,"NO NEED tablet, Ensure proper food texture; monitor hydration."
Patient has rectal bleeding.,"NO NEED tablet, Seek urgent medical consultation."
Patient has dark-colored stool.,"NO NEED tablet, Seek urgent medical consultation."
Patient experiences severe stomach cramps.,"Simethicone, Likely gas or mild digestive issue."
Patient has an irregular heartbeat.,"NO NEED tablet, Seek urgent medical consultation."
Patient has a rapid heart rate.,"NO NEED tablet, Monitor hydration and stress levels."
Patient has cold hands and feet.,"NO NEED tablet, Ensure warmth; monitor circulation."
Patient experiences swelling in the legs.,"NO NEED tablet, Monitor salt intake and hydration."
Patient reports dizziness upon standing.,"NO NEED tablet, Ensure hydration; monitor for low blood pressure."
Patient has high blood pressure.,"NO NEED tablet, Monitor salt intake; consult doctor if persistent."
Patient has low blood pressure.,"NO NEED tablet, Encourage fluid and salt intake if needed."
Patient experiences frequent palpitations.,"NO NEED tablet, Monitor hydration and avoid caffeine."
Patient has chest tightness.,"NO NEED tablet, Monitor for anxiety; seek urgent care if severe."
Patient has difficulty breathing while lying down.,"NO NEED tablet, Seek urgent medical consultation."
My eyes are blurry.,"No Medicine, Possible eyesight issues; visit an eye specialist."
I feel strain in my eyes after using the computer.,"Artificial Tears, Digital eye strain; use the 20-20-20 rule."
My eyes hurt when exposed to bright light.,"Lubricating Eye Drops, Photophobia; wear sunglasses and avoid harsh lighting."
I have occasional redness in my eyes.,"No Medicine, Eye fatigue; ensure adequate rest."
There is a burning sensation in my eyes.,"Artificial Tears, Dry eyes; avoid air-conditioned environments."
My eyes feel itchy and watery.,"Antihistamine Eye Drops, Allergic conjunctivitis; avoid allergens."
I see floaters in my vision.,"No Medicine, Possible vitreous detachment; consult an ophthalmologist if persistent."
My vision is occasionally blurry when reading.,"No Medicine, Possible need for glasses; visit an optometrist."
I have difficulty seeing at night.,"Vitamin A Supplements, Night blindness; ensure a vitamin A-rich diet."
My eyes are red and feel gritty.,"Lubricating Eye Drops, Dry eye syndrome; increase water intake."
There is a stinging sensation in my eyes.,"No Medicine, Possibly due to eye strain; blink more often."
I experience double vision sometimes.,"No Medicine, Possible muscle imbalance; visit an ophthalmologist."
My eyes are puffy in the morning.,"Cold Compress, Fluid retention; reduce salt intake."
"""I feel like there is something in my eye","but nothing is there.,Lubricating Eye Drops, Foreign body sensation; rinse with clean water."
My eyes produce a yellow discharge.,"Antibiotic Eye Drops, Possible bacterial conjunctivitis; seek medical attention."
I see flashes of light in my vision.,"No Medicine, Possible retinal detachment; urgent eye specialist visit required."
There is a dark spot in my vision.,"No Medicine, Possible macular degeneration; visit an ophthalmologist."
My eyes are dry despite blinking frequently.,"Artificial Tears, Chronic dry eye; consult an eye doctor if persistent."
I have a red bump on my eyelid.,"Warm Compress, Possible stye; avoid touching it."
My eyelashes keep falling out.,"No Medicine, Possible eyelid inflammation; maintain eye hygiene."
I wake up with crusty eyes.,"Antibiotic Eye Drops, Bacterial eye infection; seek medical help."
I see halos around lights.,"No Medicine, Possible cataracts; schedule an eye exam."
My vision has suddenly become distorted.,"No Medicine, Possible retinal issue; seek immediate medical attention."
One of my pupils is larger than the other.,"No Medicine, Neurological concern; consult a doctor immediately."
I feel pressure behind my eyes.,"No Medicine, Possible sinus pressure or glaucoma; consult an eye specialist."
My eyes water excessively.,"No Medicine, Reflex tearing due to irritation; avoid allergens."
I have a gritty feeling in my eyes.,"Lubricating Eye Drops, Dry eye syndrome; use artificial tears."
My child complains of blurry vision in one eye.,"No Medicine, Possible amblyopia; seek an eye specialist for early intervention."
I feel like my vision is getting worse gradually.,"No Medicine, Refractive error; schedule an eye exam."
I experience severe eye pain.,"No Medicine, Possible optic nerve damage; seek immediate medical attention."
I see rainbow-colored rings around lights.,"No Medicine, Possible glaucoma; consult an ophthalmologist urgently."
My contact lenses feel uncomfortable.,"Lubricating Eye Drops, Dry eye irritation; consider changing lenses."
I experience a throbbing headache with eye pain.,"No Medicine, Possible migraine; seek medical advice."
My eyes feel sore after reading for long hours.,"No Medicine, Eye fatigue; take frequent breaks."
I have difficulty focusing on objects up close.,"No Medicine, Presbyopia; reading glasses may be required."
My eyes are bloodshot.,"No Medicine, Possibly due to lack of sleep; get adequate rest."
I feel sharp pain when I move my eyes.,"No Medicine, Possible optic neuritis; seek immediate medical consultation."
My eyes feel heavy and droopy.,"No Medicine, Eye fatigue; ensure proper sleep and hydration."
My eyes feel dry and irritated.,This could be due to dry eye syndrome or prolonged screen exposure. Use lubricating eye drops and reduce screen time.
I experience redness in my eyes.,"Redness can be caused by allergies, dryness, or irritation. Use antihistamine eye drops if allergic or lubricating drops if dry."
I see blurry objects at a distance.,This could be nearsightedness myopia. An eye exam is recommended to determine if glasses or contact lenses are needed.
I see blurry objects up close.,This may indicate farsightedness hyperopia. Consult an eye doctor for corrective lenses.
There is a sudden black spot in my vision.,This could be a retinal detachment or hemorrhage. Seek immediate medical attention.
I see floating specks in my vision.,"Floaters are common with aging but can also indicate retinal issues. If they suddenly increase, visit an ophthalmologist."
My eyes hurt when looking at bright light.,You may have photophobia. Wear sunglasses outdoors and reduce screen brightness.
My eyelid is twitching frequently.,"Eyelid twitching is usually due to fatigue, stress, or caffeine intake. Reduce stress and ensure adequate sleep."
I have a persistent stye on my eyelid.,"Styes are bacterial infections. Apply a warm compress and avoid touching the eye. If persistent, consult a doctor."
My vision is hazy or cloudy.,This may be an early sign of cataracts. A comprehensive eye exam is recommended.
I experience double vision.,Double vision could be due to nerve or muscle issues. Seek medical evaluation promptly.
My eyes are swollen and painful.,This may be due to conjunctivitis or an allergic reaction. Use cold compresses and antihistamine drops if allergic.
I have difficulty seeing at night.,Poor night vision may be due to vitamin A deficiency or cataracts. Consider an eye exam and a vitamin-rich diet.
My eyes burn after using screens for a long time.,This could be digital eye strain. Follow the 20-20-20 rule: take a break every 20 minutes by looking at something 20 feet away for 20 seconds.
My child squints often while watching TV.,Frequent squinting may indicate vision problems. Schedule an eye exam for early detection.
I feel pressure behind my eyes.,"This may be due to sinus congestion or glaucoma. If persistent, consult an ophthalmologist."
My eyes are constantly watering.,Excessive tearing may be due to blocked tear ducts or irritation. Use artificial tears and avoid eye strain.
I have a small bump on my eyelid.,This could be a chalazion or stye. Apply a warm compress and avoid squeezing it.
I wake up with crusty eyelids.,"This may be due to blepharitis, an inflammation of the eyelids. Use warm compresses and practice good eyelid hygiene."
My contact lenses feel uncomfortable.,Check if they are properly cleaned or if your eyes are dry. Use rewetting drops or consult your optometrist.
My vision suddenly went dark in one eye.,This could be an emergency such as retinal detachment or stroke. Seek immediate medical attention.
My eyes feel itchy after being outdoors.,You may have allergic conjunctivitis. Use antihistamine eye drops and avoid allergens.
I see rainbow halos around lights.,This could be a sign of glaucoma. An eye exam is recommended immediately.
I have frequent headaches after reading.,This could indicate uncorrected vision problems. Schedule an eye check-up.
One of my pupils is larger than the other.,This may indicate neurological issues. Seek immediate medical attention.
My vision is wavy or distorted.,This could be macular degeneration. An eye exam is recommended.
My eyes feel like they have sand in them.,This is a symptom of dry eye syndrome. Use lubricating eye drops.
I have sudden sharp pain in my eye.,This could be a corneal abrasion or serious condition. Seek urgent care.
My eye is bulging out.,Protruding eyes could be due to thyroid disease. Consult an endocrinologist and an eye specialist.
I feel a constant dull ache around my eyes.,Eye strain or sinus pressure may be the cause. Try warm compresses and eye rest.
I experience frequent tearing when reading.,This may be due to poor eye alignment or strain. An eye exam is advisable.
I feel a sharp object sensation in my eye.,You might have a foreign object in your eye. Rinse with water and seek medical attention if discomfort persists.
My child's eye is turning inward or outward.,This could be strabismus. Early intervention with an ophthalmologist is important.
I have difficulty distinguishing colors.,This could indicate color blindness. Consider color vision testing.
I have trouble seeing in dim light.,Night blindness could be due to vitamin A deficiency. Adjust your diet and consult a specialist.
My eye is very sensitive to wind.,Wind sensitivity may indicate dry eyes. Use protective eyewear and artificial tears.
I have pus coming from my eye.,This could be a bacterial infection like conjunctivitis. Use antibiotic eye drops after consulting a doctor.
My vision is becoming increasingly narrow.,This could be due to glaucoma. Seek medical evaluation promptly.
I feel like my eyes are constantly shaking.,"This could be nystagmus, an involuntary eye movement disorder. Consult an ophthalmologist."
I have sudden blind spots in my vision.,Blind spots can indicate serious conditions like retinal detachment. Seek urgent medical care.
I experience a gritty sensation in my eyes.,This could be dryness or blepharitis. Use lubricating drops and practice good eyelid hygiene.
I have a sudden stabbing pain in my eye.,This could be a corneal abrasion. Seek medical help if it persists.
I see dark shadows in my peripheral vision.,Peripheral vision loss could be due to glaucoma. Get an eye exam soon.
My eyes feel heavy and tired all the time.,Eye fatigue may be due to strain or dry eyes. Reduce screen time and rest your eyes frequently.
I have an eye infection that won’t go away.,Chronic eye infections need medical attention. Consult an ophthalmologist for proper treatment.
Diabetic patient experiences frequent urination.,"Uncontrolled blood sugar levels.,Metformin, Insulin adjustment."
Diabetic patient reports excessive thirst.,"Dehydration due to high glucose levels.,Hydration, Insulin therapy."
Diabetic patient complains of constant fatigue.,"Diabetes-related fatigue.,Blood sugar control, Lifestyle changes."
Diabetic patient has tingling in feet.,"Diabetic Neuropathy.,Gabapentin, Vitamin B12 if deficient."
Diabetic patient has blurry vision in the morning.,"Fluctuating blood sugar levels.,Monitor blood sugar, Regular eye exams."
Diabetic patient reports foot pain when walking.,"Peripheral artery disease.,Blood thinners, Aspirin, Lifestyle modification."
Diabetic patient has slow-healing wounds.,"Impaired wound healing.,Topical antibiotics, Blood sugar control."
Diabetic patient experiences sudden dizziness upon standing.,"Orthostatic Hypotension.,Increase fluid and salt intake, Check medications."
Diabetic patient has a burning sensation in feet at night.,"Diabetic Neuropathy.,Pregabalin, Duloxetine for nerve pain."
Diabetic patient has a foot ulcer.,"Diabetic foot ulcer.,Antibiotics Amoxicillin-Clavulanate, Wound care, Debridement."
Diabetic patient has night sweats and feels weak.,"Fluctuating blood sugar levels.,Monitor glucose, Adjust insulin dose."
Diabetic patient notices foamy urine.,"Early diabetic nephropathy.,ACE inhibitors Lisinopril, Kidney function monitoring."
Diabetic patient complains of frequent headaches.,"Fluctuating blood sugar levels.,Hydration, Blood sugar stabilization."
Diabetic patient reports cold and numb feet.,"Poor circulation due to diabetes.,Foot exercises, Warm socks, Blood flow monitoring."
Diabetic patient has sudden blurred vision.,"Diabetic Retinopathy.,Regular eye check-ups, Anti-VEGF injections if needed."
Diabetic patient complains of muscle cramps.,"Electrolyte imbalance due to diabetes.,Magnesium supplementation, Hydration."
"""Diabetic patient has dry","itchy skin.,Diabetic Dermopathy.,Moisturizers, Blood sugar control."
Diabetic patient has recurring yeast infections.,"High blood sugar levels leading to fungal overgrowth.,Antifungal medication, Blood sugar control."
Diabetic patient has constipation.,"Diabetic Gastrointestinal Autonomic Neuropathy.,High-fiber diet, Stool softeners if needed."
Diabetic patient experiences frequent diarrhea.,"Diabetic Autonomic Neuropathy.,Loperamide for symptomatic relief."
Diabetic patient has unexplained weight loss.,"Uncontrolled diabetes, Possible ketoacidosis.,Insulin adjustment, Nutritional assessment."
Diabetic patient reports increased hunger despite eating regularly.,"Poor blood sugar control.,Optimize insulin regimen, Dietary modifications."
Diabetic patient experiences frequent infections.,"Weakened immune response due to diabetes.,Monitor glucose levels, Antibiotics for bacterial infections."
Diabetic patient has pain in joints.,"Diabetic stiff-hand syndrome.,Physical therapy, Blood sugar control."
Diabetic patient reports lightheadedness after meals.,"Postprandial Hypotension.,Small frequent meals, Adjust medications."
Diabetic patient complains of dark patches on skin.,"Acanthosis Nigricans.,Monitor insulin resistance, Weight management."
Diabetic patient has swelling in legs.,"Diabetic Nephropathy.,Diuretics, Reduce sodium intake."
Diabetic patient feels tired after minimal exertion.,"Diabetic Cardiomyopathy.,Monitor heart function, Lifestyle modifications."
Diabetic patient reports breathlessness while walking.,"Heart failure due to diabetes.,Monitor cardiovascular health, Diuretics if needed."
Diabetic patient experiences sudden vision loss in one eye.,"Diabetic Retinopathy complication.,Immediate ophthalmologist consultation, Possible laser therapy."
Diabetic patient has difficulty sleeping.,"Blood sugar fluctuations affecting sleep.,Monitor glucose levels before bedtime, Sleep hygiene improvement."
Diabetic patient experiences leg pain at night.,"Diabetic Peripheral Neuropathy.,Pain relievers, Gabapentin if needed."
"""Patient is 74 years old","Male. Symptoms include Fatigue, Sore throat, Fever. Heart rate: 69 bpm, Body temperature: 39.4°C, Blood pressure: 132/91, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 66 years old","Female. Symptoms include Sore throat, Fatigue, Cough. Heart rate: 95 bpm, Body temperature: 39.0°C, Blood pressure: 174/98, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 32 years old","Male. Symptoms include Body ache, Sore throat, Fatigue. Heart rate: 77 bpm, Body temperature: 36.8°C, Blood pressure: 136/60, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 21 years old","Female. Symptoms include Shortness of breath, Headache, Cough. Heart rate: 72 bpm, Body temperature: 38.9°C, Blood pressure: 147/82, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 53 years old","Male. Symptoms include Runny nose, Sore throat, Fatigue. Heart rate: 100 bpm, Body temperature: 36.6°C, Blood pressure: 109/106, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 22 years old","Male. Symptoms include Sore throat, Fever, Cough. Heart rate: 90 bpm, Body temperature: 39.5°C, Blood pressure: 107/92, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 21 years old","Male. Symptoms include Sore throat, Fatigue, Cough. Heart rate: 71 bpm, Body temperature: 37.5°C, Blood pressure: 126/82, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 71 years old","Male. Symptoms include Headache, Shortness of breath, Runny nose. Heart rate: 64 bpm, Body temperature: 38.6°C, Blood pressure: 153/99, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 56 years old","Female. Symptoms include Shortness of breath, Fever, Headache. Heart rate: 103 bpm, Body temperature: 36.2°C, Blood pressure: 152/71, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Cold. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 53 years old","Male. Symptoms include Cough, Fever, Headache. Heart rate: 62 bpm, Body temperature: 39.5°C, Blood pressure: 111/104, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 72 years old","Female. Symptoms include Shortness of breath, Fatigue, Headache. Heart rate: 83 bpm, Body temperature: 37.0°C, Blood pressure: 152/62, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 28 years old","Female. Symptoms include Runny nose, Sore throat, Cough. Heart rate: 63 bpm, Body temperature: 36.3°C, Blood pressure: 151/96, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Cold. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 78 years old","Male. Symptoms include Body ache, Shortness of breath, Headache. Heart rate: 117 bpm, Body temperature: 38.9°C, Blood pressure: 149/113, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 23 years old","Male. Symptoms include Shortness of breath, Cough, Headache. Heart rate: 118 bpm, Body temperature: 37.0°C, Blood pressure: 179/70, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 55 years old","Female. Symptoms include Headache, Fatigue, Sore throat. Heart rate: 103 bpm, Body temperature: 37.7°C, Blood pressure: 125/98, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 19 years old","Female. Symptoms include Fatigue, Fever, Runny nose. Heart rate: 101 bpm, Body temperature: 39.8°C, Blood pressure: 100/67, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Pneumonia. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 46 years old","Male. Symptoms include Headache, Runny nose, Fatigue. Heart rate: 65 bpm, Body temperature: 38.2°C, Blood pressure: 131/67, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 68 years old","Female. Symptoms include Runny nose, Headache, Body ache. Heart rate: 94 bpm, Body temperature: 38.4°C, Blood pressure: 175/111, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 31 years old","Male. Symptoms include Headache, Fatigue, Sore throat. Heart rate: 63 bpm, Body temperature: 35.7°C, Blood pressure: 169/93, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Cold. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 46 years old","Female. Symptoms include Fatigue, Sore throat, Cough. Heart rate: 85 bpm, Body temperature: 35.5°C, Blood pressure: 161/110, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 58 years old","Male. Symptoms include Sore throat, Body ache, Fatigue. Heart rate: 95 bpm, Body temperature: 38.3°C, Blood pressure: 142/80, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 73 years old","Female. Symptoms include Fever, Fatigue, Body ache. Heart rate: 60 bpm, Body temperature: 37.1°C, Blood pressure: 177/89, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 30 years old","Female. Symptoms include Headache, Cough, Body ache. Heart rate: 87 bpm, Body temperature: 38.6°C, Blood pressure: 177/85, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 69 years old","Male. Symptoms include Headache, Body ache, Fever. Heart rate: 107 bpm, Body temperature: 39.0°C, Blood pressure: 154/65, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Pneumonia. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 60 years old","Female. Symptoms include Body ache, Fatigue, Runny nose. Heart rate: 64 bpm, Body temperature: 39.2°C, Blood pressure: 159/90, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 45 years old","Female. Symptoms include Fever, Cough, Shortness of breath. Heart rate: 98 bpm, Body temperature: 37.3°C, Blood pressure: 161/76, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 49 years old","Female. Symptoms include Headache, Sore throat, Fever. Heart rate: 92 bpm, Body temperature: 40.0°C, Blood pressure: 120/118, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 75 years old","Male. Symptoms include Cough, Shortness of breath, Body ache. Heart rate: 118 bpm, Body temperature: 38.5°C, Blood pressure: 124/103, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 51 years old","Male. Symptoms include Sore throat, Shortness of breath, Fatigue. Heart rate: 103 bpm, Body temperature: 37.7°C, Blood pressure: 162/100, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 35 years old","Female. Symptoms include Cough, Fever, Fatigue. Heart rate: 119 bpm, Body temperature: 37.4°C, Blood pressure: 119/60, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 18 years old","Female. Symptoms include Fatigue, Headache, Runny nose. Heart rate: 117 bpm, Body temperature: 38.9°C, Blood pressure: 108/101, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 62 years old","Female. Symptoms include Runny nose, Fever, Fatigue. Heart rate: 116 bpm, Body temperature: 36.8°C, Blood pressure: 176/100, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 24 years old","Female. Symptoms include Fatigue, Cough, Shortness of breath. Heart rate: 105 bpm, Body temperature: 39.2°C, Blood pressure: 159/114, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 64 years old","Female. Symptoms include Fever, Headache, Cough. Heart rate: 97 bpm, Body temperature: 39.7°C, Blood pressure: 126/75, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 53 years old","Female. Symptoms include Runny nose, Cough, Headache. Heart rate: 74 bpm, Body temperature: 39.9°C, Blood pressure: 166/79, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 53 years old","Female. Symptoms include Fever, Cough, Runny nose. Heart rate: 101 bpm, Body temperature: 39.2°C, Blood pressure: 127/113, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Pneumonia. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 62 years old","Male. Symptoms include Fever, Runny nose, Sore throat. Heart rate: 108 bpm, Body temperature: 36.9°C, Blood pressure: 176/119, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 71 years old","Female. Symptoms include Cough, Body ache, Shortness of breath. Heart rate: 63 bpm, Body temperature: 36.6°C, Blood pressure: 153/92, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 27 years old","Male. Symptoms include Headache, Fatigue, Sore throat. Heart rate: 94 bpm, Body temperature: 37.7°C, Blood pressure: 112/67, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 67 years old","Female. Symptoms include Cough, Fatigue, Body ache. Heart rate: 105 bpm, Body temperature: 36.8°C, Blood pressure: 104/108, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 78 years old","Male. Symptoms include Cough, Body ache, Sore throat. Heart rate: 65 bpm, Body temperature: 37.1°C, Blood pressure: 105/73, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
